[2015-03-20 00:09:26--967327]current cmd handler is 0,0xa08d870
[2015-03-20 00:09:26--985962]recv server 6,current server connection is 1
[2015-03-20 00:09:27--973196]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:28--975226]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:29--977779]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:30--977359]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:31--978663]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:32--979461]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:33--979314]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:34--980760]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:35--978722]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:36--978478]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:37--129892]current cmd handler is 1,0xa08da00
[2015-03-20 00:09:37--976930]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:38--976946]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:39--975314]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:40--975925]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:41--977948]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:42--977121]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:43--977239]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:44--979307]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:45--980035]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:46--979125]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:47--979327]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:48--979912]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:49--980573]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:50--981152]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:51--981882]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:52--982435]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:53--983142]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:54--983641]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:55--984259]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:56--984850]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:57--985504]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:58--986114]recv server 6 keeplive,current server is 1
[2015-03-20 00:09:59--986768]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:00--987400]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:01--988007]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:02--988636]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:03--989241]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:04--989817]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:05--990466]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:06--991118]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:07--991854]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:08--992387]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:09--992967]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:10--993592]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:11--994318]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:12--994466]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:13--995019]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:14--995660]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:15--996246]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:16--996849]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:17--997526]recv server 6 keeplive,current server is 1
[2015-03-20 00:10:18--998127]recv server 6 keeplive,current server is 1
