[2015-03-20 10:08:26--281994]current cmd handler is 0,0x9f56870
[2015-03-20 10:08:26--310590]recv server 6,current server connection is 1
[2015-03-20 10:08:27--295333]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:28--317858]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:29--320291]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:30--331390]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:31--332796]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:32--336579]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:33--334815]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:34--339170]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:35--341206]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:36--373287]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:37--334217]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:38--343069]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:38--785259]current cmd handler is 1,0x9f56a20
[2015-03-20 10:08:39--338274]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:40--333339]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:41--333781]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:42--335124]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:43--336878]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:44--338777]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:45--337142]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:46--356851]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:47--339199]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:48--366828]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:49--341228]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:50--370949]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:51--345135]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:52--344701]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:53--344893]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:54--345334]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:55--345643]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:56--346055]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:57--346336]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:58--346860]recv server 6 keeplive,current server is 1
[2015-03-20 10:08:59--347181]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:00--378088]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:01--350025]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:02--366417]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:03--351318]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:04--378609]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:05--352792]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:06--354089]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:07--354969]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:08--382143]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:09--383005]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:10--383300]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:11--384182]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:12--385490]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:13--385515]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:14--386434]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:15--387371]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:16--389072]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:17--389472]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:18--390630]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:19--391486]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:20--392808]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:21--393676]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:22--394875]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:23--396156]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:24--396977]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:25--398099]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:26--399033]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:27--399923]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:28--401138]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:29--402215]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:30--403255]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:31--404153]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:32--405421]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:33--406245]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:34--407529]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:35--408367]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:36--409706]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:37--410520]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:38--437185]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:39--437642]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:40--456995]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:41--439769]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:42--440654]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:43--440597]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:44--441014]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:45--441902]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:46--442978]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:47--443970]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:48--458167]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:49--458591]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:50--459148]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:51--462671]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:52--481491]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:53--465253]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:54--481832]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:55--482419]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:56--506486]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:57--484035]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:58--484558]recv server 6 keeplive,current server is 1
[2015-03-20 10:09:59--484730]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:00--485823]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:01--519256]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:02--519679]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:03--520329]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:04--521003]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:05--521434]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:06--532509]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:07--522753]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:08--539423]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:09--555990]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:10--540606]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:11--541189]recv server 6 keeplive,current server is 1
[2015-03-20 10:10:12--541890]recv server 6 keeplive,current server is 1
